,Index,ID,Country,Gender,Education,Region,Profession,Work_status,Household_members,Income_level,Location_of_residence,Centre_or_suburbs,Public_transport_service,Car_driving_license,Number_vehicles_in_household,Considering_electric_or_hybrid_vehicle_next_purchase,Know_what_car_sharing_is,Would_subscribe_car_sharing_if_available,Most_frequent_trip_Walk,Most_frequent_trip_Bicycle,Most_frequent_trip_Car_as_Driver,Most_frequent_trip_Car_as_Passenger,Most_frequent_trip_Train,Most_frequent_trip_Underground_or_light_train,Most_frequent_trip_Tram,Most_frequent_trip_Bus,Most_frequent_trip_Motorcycle_or_moped,Destination_most_frequent_trip,Frequency_most_frequent_trip,Transfers_between_modes_during_frequent_trip,Frequent_trip_distance,Concern_environmental_impacts,Preference_tolls_or_traffic_limitation,New_frq_trip_dur,Age,Would_subsribe_car_sharing_if_available_new,Education_DNA,Income_level_DNA,Profession_DNA,Age_DNA,Considering_electric_or_hybrid_vehicle_next_purchase_DNA,Concern_environmental_impacts_DNA,Country_DNA,sha_ind,sha_ind_norm
38,51,53,Belgium,Female,"Tertiary and higher (University degree, PhD or similar degrees).",Prov. Antwerpen,housewife,Not Employed,five,higher middle,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Well served by public transport,Yes,2,Maybe yes maybe not,Yes,"No, I would not be interested in this service",Yes,Yes,Yes,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip 2-3 days per week,Don't know/ No answer,3-5 KM,7,Probably more acceptable to pay for less congestion,15-30 min,41-50,0,0.2290959252971137,0.2489236790606653,0.1844135802469135,0.1833333333333333,0.2027115108851518,0.1982758620689655,0.132752992383025,0.1970724118964526,0.4141897975003408
46,63,65,Estonia,Male,Upper secondary (high school or similar);,PÃµhja-Eesti,manual worker/agricultural worker/farmer,Employed,two,lower middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Difficult to reach with public transport,Yes,2,Probably not,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Â…In an urban area, different from where I live",Make this trip 2-3 days per week,More than three,more than 50 KM,5,Probably more acceptable to limit road traffic,more than 120 min,51-60,1,0.2069787234042553,0.1964838027022627,0.2166193181818181,0.1924233313289236,0.1444071809035312,0.1648418491484184,0.1204690831556503,0.1774604698321228,0.288827373486906
47,64,66,Estonia,Female,"Tertiary and higher (University degree, PhD or similar degrees).",PÃµhja-Eesti,teacher/lecturer,Employed,two,lower middle,Large city (from 250.000 to 1.000.000 inhabitants),in the centre of the city,Difficult to reach with public transport,Yes,2,Certainly not,No,"No, I would not be interested in this service",No,Yes,Yes,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Don't know/ No answer,11-20 KM,6,Definitely more acceptable to pay for less congestion,15-30 min,21-30,0,0.2290959252971137,0.1964838027022627,0.1986692015209125,0.2346829640947288,0.1095890410958904,0.1392904073587385,0.1204690831556503,0.1754686321750424,0.2760952536329015
49,67,69,Estonia,Female,"Tertiary and higher (University degree, PhD or similar degrees).",PÃµhja-Eesti,office worker,Employed,two,middle,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Well served by public transport,No,0,Probably not,Yes,"Yes, instead of purchasing a new car",No,No,No,Yes,No,No,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,6-10 KM,8,No preferences,15-30 min,31-40,2,0.2290959252971137,0.2103583345422892,0.1989212513484358,0.2217081850533807,0.1444071809035312,0.2356572258533043,0.1204690831556503,0.1943738837362436,0.3969404078008065
51,69,71,Spain,Female,"Tertiary and higher (University degree, PhD or similar degrees).",AndalucÃ­a,unemployed,Not Employed,four,middle,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,2,Maybe yes maybe not,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,No,No,No,No,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Don't know/ No answer,6-10 KM,9,No preferences,15-30 min,21-30,1,0.2290959252971137,0.2103583345422892,0.2050105857445307,0.2346829640947288,0.2027115108851518,0.299515106303618,0.2458158995815899,0.2324557609212889,0.6403653791391732
53,71,73,Croatia,Female,Upper secondary (high school or similar);,Splitsko-dalmatinska zupanija,student,Not Employed,four,middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Well served by public transport,No,1,Maybe yes maybe not,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,No,No,No,No,No,Yes,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,Two,6-10 KM,9,Probably more acceptable to limit road traffic,30-60 min,less than 20,1,0.2069787234042553,0.2103583345422892,0.2434696895022178,0.2561094819159335,0.2027115108851518,0.299515106303618,0.2760416666666667,0.2421692161743046,0.702455216650923
55,73,75,Czech Republic,Male,Upper secondary (high school or similar);,Praha,business owner/entrepreneur,Employed,two,low,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the suburbs,Well served by public transport,Yes,0,Certainly yes,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,No,No,No,Yes,Yes,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Two,21-30 KM,10,Definitely more acceptable to pay for less congestion,60-90 min,21-30,1,0.2069787234042553,0.1823809523809524,0.2460474308300395,0.2346829640947288,0.3650434126085315,0.3167848699763593,0.2184782608695652,0.2529138020234903,0.7711361928977487
59,77,79,Estonia,Female,"Tertiary and higher (University degree, PhD or similar degrees).",PÃµhja-Eesti,housewife,Not Employed,three,middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,1,Certainly not,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,Yes,Yes,No,No,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Don't know/ No answer,11-20 KM,5,No preferences,15-30 min,21-30,1,0.2290959252971137,0.2103583345422892,0.1844135802469135,0.2346829640947288,0.1095890410958904,0.1648418491484184,0.1204690831556503,0.1790643967972863,0.2990799110292801
63,82,84,Croatia,Female,"Tertiary and higher (University degree, PhD or similar degrees).",Brodsko-posavska zupanija,office worker,Employed,two,lower middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Relatively served by public transport,Yes,1,Maybe yes maybe not,No,"No, I would not be interested in this service",Yes,No,No,Yes,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Don't know/ No answer,less than 3 KM,7,Probably more acceptable to limit road traffic,less than 15 min,31-40,0,0.2290959252971137,0.1964838027022627,0.1989212513484358,0.2217081850533807,0.2027115108851518,0.1982758620689655,0.2760416666666667,0.2176054577174253,0.545440052475231
64,83,85,Germany,Male,Upper secondary (high school or similar);,Hannover,teacher/lecturer,Employed,one  (myself),high,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the centre of the city,Well served by public transport,Yes,2,Certainly not,Yes,Yes I'm already client of a car sharing service,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,6-10 KM,10,No preferences,more than 120 min,21-30,2,0.2069787234042553,0.3636363636363636,0.1986692015209125,0.2346829640947288,0.1095890410958904,0.3167848699763593,0.1866383881230116,0.2309970788359316,0.6310412682741944
67,87,89,Italy,Male,Upper secondary (high school or similar);,Piemonte,unemployed,Not Employed,one  (myself),low,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the centre of the city,Well served by public transport,Yes,0,Probably yes,Yes,"Yes, instead of purchasing a new car",Yes,Yes,No,No,No,No,Yes,Yes,No,"Â…In an urban area, same as where I live",Make this trip once per week or less,Three,21-30 KM,10,Probably more acceptable to limit road traffic,30-60 min,41-50,2,0.2069787234042553,0.1823809523809524,0.2050105857445307,0.1833333333333333,0.2870708546384222,0.3167848699763593,0.2929606625258799,0.2392171402862475,0.6835851125080217
72,92,94,Greece,Female,"Tertiary and higher (University degree, PhD or similar degrees).",Tessa??a,office worker,Employed,four,middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Relatively served by public transport,Yes,1,Probably yes,Yes,Yes without any influence on my car ownership,Yes,Yes,No,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,3-5 KM,8,Probably more acceptable to limit road traffic,30-60 min,21-30,2,0.2290959252971137,0.2103583345422892,0.1989212513484358,0.2346829640947288,0.2870708546384222,0.2356572258533043,0.2830957230142566,0.2398403255412215,0.6875686045006406
83,111,113,Croatia,Female,Upper secondary (high school or similar);,Grad Zagreb,student,Not Employed,four,middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the suburbs,Well served by public transport,Yes,3,Probably yes,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,No,Yes,No,No,Yes,Yes,No,"Â…In an urban area, same as where I live",Make this trip 2-3 days per week,Two,6-10 KM,8,No preferences,30-60 min,21-30,1,0.2069787234042553,0.2103583345422892,0.2434696895022178,0.2346829640947288,0.2870708546384222,0.2356572258533043,0.2760416666666667,0.2420370655288406,0.7016104902492248
99,130,133,France,Female,Lower secondary (upper elementary school or similar);,RhÃ´ne-Alpes,manual worker/agricultural worker/farmer,Employed,four,middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Relatively served by public transport,Yes,1,Maybe yes maybe not,Yes,Yes and I would give up one car I currently own,Yes,No,Yes,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,11-20 KM,8,Probably more acceptable to pay for less congestion,15-30 min,31-40,2,0.178237650200267,0.2103583345422892,0.2166193181818181,0.2217081850533807,0.2027115108851518,0.2356572258533043,0.254071661237785,0.2170519837077138,0.5419021650361249
102,134,137,Portugal,Female,"Tertiary and higher (University degree, PhD or similar degrees).",Lisboa,other employed worker,Employed,one  (myself),middle,Large city (from 250.000 to 1.000.000 inhabitants),in the centre of the city,Relatively served by public transport,Yes,1,Probably yes,Yes,Yes I'm already client of a car sharing service,No,No,No,No,Yes,Yes,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,3-5 KM,9,Probably more acceptable to limit road traffic,15-30 min,21-30,2,0.2290959252971137,0.2103583345422892,0.1921047488762947,0.2346829640947288,0.2870708546384222,0.299515106303618,0.2780040733197556,0.2472617152960317,0.735007221551403
103,135,138,Portugal,Female,Upper secondary (high school or similar);,Lisboa,other employed worker,Employed,four,middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,3,Probably yes,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,Yes,Yes,No,Yes,No,No,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,Two,31-50 KM,8,No preferences,60-90 min,41-50,1,0.2069787234042553,0.2103583345422892,0.1921047488762947,0.1833333333333333,0.2870708546384222,0.2356572258533043,0.2780040733197556,0.2276438991382363,0.6096072494668334
107,141,144,Finland,Female,Upper secondary (high school or similar);,EtelÃ¤-Suomi,student,Not Employed,three,low,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Difficult to reach with public transport,No,0,Certainly yes,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,Yes,No,No,Yes,No,No,Yes,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,Three,21-30 KM,9,Probably more acceptable to limit road traffic,60-90 min,less than 20,1,0.2069787234042553,0.1823809523809524,0.2434696895022178,0.2561094819159335,0.3650434126085315,0.299515106303618,0.1876355748373102,0.2487332772789741,0.7444136626199396
114,149,153,Greece,Female,"Tertiary and higher (University degree, PhD or similar degrees).",?tt???,other self-employed worker,Employed,three,lower middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the centre of the city,Relatively served by public transport,Yes,2,Probably yes,No,Yes and I would give up one car I currently own,Yes,No,Yes,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,6-10 KM,8,Definitely more acceptable to limit road traffic,60-90 min,41-50,2,0.2290959252971137,0.1964838027022627,0.2632293080054274,0.1833333333333333,0.2870708546384222,0.2356572258533043,0.2830957230142566,0.2397094532634457,0.6867320496136073
121,159,164,Sweden,Female,"Tertiary and higher (University degree, PhD or similar degrees).",Ã–stra Mellansverige,office worker,Employed,four,higher middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Well served by public transport,Yes,1,Probably yes,No,Yes and I would give up one car I currently own,Yes,No,Yes,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip once per week or less,Don't know/ No answer,6-10 KM,6,Probably more acceptable to pay for less congestion,less than 15 min,41-50,2,0.2290959252971137,0.2489236790606653,0.1989212513484358,0.1833333333333333,0.2870708546384222,0.1392904073587385,0.1263736263736263,0.2018584396300478,0.4447827921212193
122,160,165,Estonia,Female,"Tertiary and higher (University degree, PhD or similar degrees).",PÃµhja-Eesti,other employed worker,Employed,two,middle,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Well served by public transport,No,1,Maybe yes maybe not,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,No,Yes,No,No,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip 2-3 days per week,Two,6-10 KM,10,Definitely more acceptable to pay for less congestion,30-60 min,21-30,1,0.2290959252971137,0.2103583345422892,0.1921047488762947,0.2346829640947288,0.2027115108851518,0.3167848699763593,0.1204690831556503,0.2151724909753697,0.52988817049803
124,162,167,Hungary,Male,Lower secondary (upper elementary school or similar);,KÃ¶zÃ©p-MagyarorszÃ¡g,other self-employed worker,Employed,three,lower middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the suburbs,Well served by public transport,Yes,2,Certainly yes,Yes,Yes without any influence on my car ownership,No,Yes,No,No,No,No,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,11-20 KM,8,Definitely more acceptable to limit road traffic,30-60 min,51-60,2,0.178237650200267,0.1964838027022627,0.2632293080054274,0.1924233313289236,0.3650434126085315,0.2356572258533043,0.191578947368421,0.2318076682953053,0.6362226755603013
125,163,168,Italy,Male,Upper secondary (high school or similar);,Friuli-Venezia Giulia,other self-employed worker,Employed,four,middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,2,Certainly yes,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip 2-3 days per week,Two,21-30 KM,7,Probably more acceptable to limit road traffic,30-60 min,41-50,1,0.2069787234042553,0.2103583345422892,0.2632293080054274,0.1833333333333333,0.3650434126085315,0.1982758620689655,0.2929606625258799,0.2457399480698117,0.7252798611687659
126,164,169,Bulgaria,Male,"Tertiary and higher (University degree, PhD or similar degrees).",Severozapaden,middle manager,Employed,three,higher middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the centre of the city,Well served by public transport,Yes,6,Certainly yes,Yes,Yes without any influence on my car ownership,Yes,No,No,No,No,No,Yes,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,11-20 KM,9,Probably more acceptable to pay for less congestion,30-60 min,31-40,2,0.2290959252971137,0.2489236790606653,0.2343283582089552,0.2217081850533807,0.3650434126085315,0.299515106303618,0.3599585062240664,0.2797961675366187,0.9429722350850428
133,175,180,Poland,Male,"Tertiary and higher (University degree, PhD or similar degrees).",Podkarpackie,office worker,Employed,four,higher middle,Large city (from 250.000 to 1.000.000 inhabitants),in the centre of the city,Relatively served by public transport,Yes,6,Certainly yes,Yes,"Yes, instead of purchasing a new car",No,Yes,Yes,Yes,No,No,No,Yes,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,Two,more than 50 KM,7,Probably more acceptable to limit road traffic,more than 120 min,21-30,2,0.2290959252971137,0.2489236790606653,0.1989212513484358,0.2346829640947288,0.3650434126085315,0.1982758620689655,0.3314855875831485,0.2580612402945128,0.8040393769372614
135,177,182,Finland,Male,Lower secondary (upper elementary school or similar);,Pohjois- ja ItÃ¤-Suomi,office worker,Employed,three,middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,2,Probably not,Yes,Yes I'm already client of a car sharing service,Yes,Yes,Yes,Yes,No,No,No,No,No,Â…It is outside an urban area,Make this trip every day/ every working day of the week,One,31-50 KM,9,Probably more acceptable to limit road traffic,30-60 min,21-30,2,0.178237650200267,0.2103583345422892,0.1989212513484358,0.2346829640947288,0.1444071809035312,0.299515106303618,0.1876355748373102,0.20767972317574,0.4819932944653398
142,184,189,Romania,Female,Upper secondary (high school or similar);,Sud - Muntenia,office worker,Employed,four,higher middle,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Relatively served by public transport,No,0,Certainly not,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,No,Yes,No,No,No,Yes,No,Â…It is outside an urban area,Make this trip every day/ every working day of the week,Two,11-20 KM,9,No preferences,15-30 min,51-60,1,0.2069787234042553,0.2489236790606653,0.1989212513484358,0.1924233313289236,0.1095890410958904,0.299515106303618,0.2813807531380753,0.219675983668552,0.5586751595015802
144,186,191,Finland,Male,Upper secondary (high school or similar);,LÃ¤nsi-Suomi,other employed worker,Employed,one  (myself),middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Relatively served by public transport,Yes,1,Certainly yes,Yes,"No, I would not be interested in this service",Yes,Yes,Yes,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Don't know/ No answer,3-5 KM,4,No preferences,less than 15 min,51-60,0,0.2069787234042553,0.2103583345422892,0.1921047488762947,0.1924233313289236,0.3650434126085315,0.1632140615191462,0.1876355748373102,0.2168225981595358,0.5404358988061453
146,188,193,Slovakia,Male,Primary (elementary school or similar);,Nitriansky kraj,student,Not Employed,three,middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Well served by public transport,Yes,2,Maybe yes maybe not,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,No,No,No,No,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Two,3-5 KM,4,Probably more acceptable to limit road traffic,15-30 min,less than 20,1,0.1596180081855388,0.2103583345422892,0.2434696895022178,0.2561094819159335,0.2027115108851518,0.1632140615191462,0.2243303571428571,0.2085444919561621,0.4875210239563432
149,192,197,Poland,Female,Upper secondary (high school or similar);,LÃ³dzkie,other employed worker,Employed,one  (myself),low,Small or medium town (less than 250.000 inhabitants),in the suburbs,Well served by public transport,Yes,0,Probably yes,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,No,No,No,No,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip 2-3 days per week,One,3-5 KM,8,Definitely more acceptable to limit road traffic,less than 15 min,51-60,1,0.2069787234042553,0.1823809523809524,0.1921047488762947,0.1924233313289236,0.2870708546384222,0.2356572258533043,0.3314855875831485,0.2325859177236144,0.6411973606016845
152,197,202,Germany,Male,Upper secondary (high school or similar);,DÃ¼sseldorf,registered freelance professional,Employed,one  (myself),lower middle,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Well served by public transport,Yes,1,Probably not,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,Yes,Yes,No,No,No,No,No,No,Â…It is outside an urban area,Make this trip every day/ every working day of the week,Don't know/ No answer,31-50 KM,3,No preferences,30-60 min,51-60,1,0.2069787234042553,0.1964838027022627,0.2731152204836415,0.1924233313289236,0.1444071809035312,0.1602300739523418,0.1866383881230116,0.1943252458425668,0.3966295072163448
164,210,215,Lithuania,Male,Upper secondary (high school or similar);,Telsiu apskritis,other employed worker,Employed,four,middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Relatively served by public transport,Yes,2,Certainly yes,Yes,"Yes, instead of purchasing a new car",Yes,No,Yes,No,Yes,No,No,No,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,One,31-50 KM,7,No preferences,30-60 min,41-50,2,0.2069787234042553,0.2103583345422892,0.1921047488762947,0.1833333333333333,0.3650434126085315,0.1982758620689655,0.1442307692307692,0.2143321691520627,0.5245167095598113
